,mol_id,SMILES,hlm_value_unscaled,hlm_value_unscaled_log10_nan,hlm_value_unscaled_log10_epsilon,hlm_value_scaled,hlm_value_scaled_log10_nan,hlm_value_scaled_log10_epsilon,dataset,scaling_was_applied
16308,CHEMBL1136,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,38.4,1.5843312243675307,1.5843312243675307,38.4,1.5843312243675307,1.5843312243675307,chembl_dataset,False
16309,CHEMBL5183193,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCc3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3)C(=O)O[C@]12C,31.9,1.503790683057181,1.503790683057181,31.9,1.503790683057181,1.503790683057181,chembl_dataset,False
16310,CHEMBL5205928,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCN3CCN(c4cc5c(cc4F)c(=O)c(C(=O)O)cn5C4CC4)CC3)C(=O)O[C@]12C,11.3,1.0530784434834195,1.0530784434834195,11.3,1.0530784434834195,1.0530784434834195,chembl_dataset,False
16311,CHEMBL191528,CCOc1ccc2ccc(=O)oc2c1,70.2,1.8463371121298051,1.8463371121298051,70.2,1.8463371121298051,1.8463371121298051,chembl_dataset,False
16312,CHEMBL5199417,C[C@@H]1CN(c2ccc(-c3n[nH]c4cnc(N5[C@H](C)CN(C(=O)N6CCCC6)C[C@@H]5C)nc34)cn2)CCN1,18.33,1.2631624649622166,1.2631624649622166,18.33,1.2631624649622166,1.2631624649622166,chembl_dataset,False
16313,CHEMBL5184000,COC(=O)N1C[C@@H](C)N(c2ncc3[nH]nc(-c4ccc(N5CCN[C@H](C)C5)nc4)c3n2)[C@@H](C)C1,15.0,1.1760912590556811,1.1760912590556811,15.0,1.1760912590556811,1.1760912590556811,chembl_dataset,False
16314,CHEMBL5181536,COC(=O)N1C[C@@H](C)N(c2ncc3[nH]nc(-c4ccc(N5CCN(C)CC5)cc4)c3n2)[C@@H](C)C1,16.67,1.2219355998280053,1.2219355998280053,16.67,1.2219355998280053,1.2219355998280053,chembl_dataset,False
16315,CHEMBL5174214,C=CC(=O)N1CCC[C@@H](n2nc(-c3cn(CC(F)(F)c4ccc(Cl)cc4)nn3)c3c(N)ncnc32)C1,256.7,2.409425868671444,2.409425868671444,263.8876,2.4214189833307005,2.4214189833307005,chembl_dataset,True
16316,CHEMBL5195838,C=CC(=O)N1CCC[C@@H](n2nc(-c3cn(CC(F)(F)c4ccccc4)nn3)c3c(N)ncnc32)C1,308.1,2.4886916983169405,2.4886916983169405,316.7268,2.5006848129761976,2.5006848129761976,chembl_dataset,True
16317,CHEMBL4581088,C=CC(=O)N1CCC[C@@H](n2nc(-c3cn(-c4ccc(C(C)=O)cc4)nn3)c3c(N)ncnc32)C1,124.0,2.093421685162235,2.093421685162235,127.472,2.105414799821492,2.105414799821492,chembl_dataset,True
16318,CHEMBL5185084,CO[C@@H]1CCN(c2cccc(-c3nc(-n4nc(C)cc4C)nc(N)c3C#N)n2)C1,34.0,1.5314789170422551,1.5314789170422551,34.0,1.5314789170422551,1.5314789170422551,chembl_dataset,False
16319,CHEMBL3918205,C[C@@H]1CN(c2scnc2-c2nc3ccccc3[nH]2)CCN1C(=O)Cn1cnc2cccnc21,12.0,1.0791812460476249,1.0791812460476249,12.336,1.0911743607068818,1.0911743607068818,chembl_dataset,True
16320,CHEMBL3966706,Cc1nc(-c2nc3ccccc3[nH]2)c(N2CCN(C(=O)Cn3cnc4cccnc43)[C@H](C)C2)s1,23.0,1.3617278360175928,1.3617278360175928,23.644,1.3737209506768495,1.3737209506768495,chembl_dataset,True
16321,CHEMBL3895485,CCc1nc(-c2nc3ccccc3[nH]2)c(N2CCN(C(=O)Cn3cnc4cccnc43)[C@H](C)C2)s1,88.0,1.944482672150169,1.944482672150169,90.464,1.9564757868094256,1.9564757868094256,chembl_dataset,True
16322,CHEMBL3927250,C[C@@H]1CN(c2sc(C3COC3)nc2-c2nc3ccccc3[nH]2)CCN1C(=O)Cn1cnc2cccnc21,38.0,1.57978359661681,1.57978359661681,39.064,1.591776711276067,1.591776711276067,chembl_dataset,True
16323,CHEMBL3945976,C[C@@H]1CN(c2sc(CN(C)C)nc2-c2nc3ccccc3[nH]2)CCN1C(=O)Cn1cnc2cccnc21,44.0,1.6434526764861874,1.6434526764861874,45.232,1.6554457911454443,1.6554457911454443,chembl_dataset,True
16324,CHEMBL3978935,C[C@@H]1CN(c2sc(C(F)(F)F)nc2-c2nc3ccccc3[nH]2)CCN1C(=O)Cn1cnc2cccnc21,89.0,1.9493900066449128,1.9493900066449128,91.492,1.9613831213041697,1.9613831213041697,chembl_dataset,True
16325,CHEMBL5185762,CCOc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3cnc4ccccc43)[C@H](C)C2)cn1,662.0,2.8208579894397,2.8208579894397,680.5360000000001,2.832851104098957,2.832851104098957,chembl_dataset,True
16326,CHEMBL5169888,CCOc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3ccc4cccnc43)[C@H](C)C2)cn1,316.0,2.499687082618404,2.499687082618404,324.848,2.511680197277661,2.511680197277661,chembl_dataset,True
16327,CHEMBL5177520,CCOc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3ccc4cnccc43)[C@H](C)C2)cn1,656.0,2.8169038393756605,2.8169038393756605,674.368,2.828896954034917,2.828896954034917,chembl_dataset,True
16328,CHEMBL5193608,CCOc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3ncc4cccnc43)[C@H](C)C2)cn1,41.0,1.6127838567197357,1.6127838567197357,42.148,1.6247769713789924,1.6247769713789924,chembl_dataset,True
16329,CHEMBL5172352,CCOc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)CN3C(=O)Cc4ccccc43)[C@H](C)C2)cn1,258.0,2.41161970596323,2.41161970596323,265.224,2.423612820622487,2.423612820622487,chembl_dataset,True
16330,CHEMBL5190681,CCOc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3nccc3C)[C@H](C)C2)cn1,65.0,1.8129133566428557,1.8129133566428557,66.82000000000001,1.8249064713021128,1.8249064713021128,chembl_dataset,True
16331,CHEMBL5186167,CCOc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3ccc(C)n3)[C@H](C)C2)cn1,66.0,1.8195439355418688,1.8195439355418688,67.848,1.8315370502011257,1.8315370502011257,chembl_dataset,True
16332,CHEMBL5186627,CCOc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3nc(C)cc3C)[C@H](C)C2)cn1,184.0,2.2648178230095364,2.2648178230095364,189.152,2.276810937668793,2.276810937668793,chembl_dataset,True
16333,CHEMBL5187464,CCOc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3ccc(C(F)(F)F)n3)[C@H](C)C2)cn1,20.0,1.3010299956639813,1.3010299956639813,20.56,1.3130231103232382,1.3130231103232382,chembl_dataset,True
16334,CHEMBL5175118,Cc1nc(C)n(CC(=O)N2CCN(c3sc(C(F)(F)F)nc3-c3cnc(OC(C)C)nc3)C[C@H]2C)n1,16.0,1.2041199826559248,1.2041199826559248,16.448,1.2161130973151817,1.2161130973151817,chembl_dataset,True
16335,CHEMBL5203452,Cc1nc(C)n(CC(=O)N2CCN(c3sc(C(F)(F)F)nc3-c3cnc(OC4CCC4)nc3)C[C@H]2C)n1,51.0,1.7075701760979365,1.7075701760979365,52.428,1.7195632907571934,1.7195632907571934,chembl_dataset,True
16336,CHEMBL5183818,CCc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3nc(C)nc3C)[C@H](C)C2)cn1,43.0,1.6334684555795864,1.6334684555795864,44.204,1.6454615702388435,1.6454615702388435,chembl_dataset,True
16337,CHEMBL5195689,CCCc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3nc(C)nc3C)[C@H](C)C2)cn1,80.0,1.9030899869919435,1.9030899869919435,82.24000000000001,1.9150831016512009,1.9150831016512009,chembl_dataset,True
